,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
6666,181736.2452012846,0.0,181736.2452012846,181736.2452012846,3704.6251352882855
6667,780335.9966242223,0.0,780335.9966242223,780335.9966242223,14459.476549301013
6668,877634.4826143513,0.0,877634.4826143513,877634.4826143513,16095.863650556079
6669,596689.9722976935,0.0,596689.9722976935,596689.9722976935,11298.650672146443
6670,596056.4423135379,0.0,596056.4423135379,596056.4423135379,11287.552139688327
6671,624174.727901343,0.0,624174.727901343,624174.727901343,11778.100344992607
6672,644410.4693568625,0.0,644410.4693568625,644410.4693568625,12129.59458436072
6673,820703.4830080786,0.0,820703.4830080786,820703.4830080786,15141.284191682564
6674,241924.28385798514,0.0,241924.28385798514,241924.28385798514,4857.650712809242
6675,482380.97766320105,0.0,482380.97766320105,482380.97766320105,9277.548412585604
6676,486755.9846950942,0.0,486755.9846950942,486755.9846950942,9355.722543958453
6677,368393.27087613853,0.0,368393.27087613853,368393.27087613853,7214.348182931283
6678,193682.1175211928,0.0,193682.1175211928,193682.1175211928,3935.3374493950487
6679,219736.7443054648,0.0,219736.7443054648,219736.7443054648,4435.280943215109
6680,112663.66322075618,0.0,112663.66322075618,112663.66322075618,2343.755898715239
6681,82836.89779228832,0.0,82836.89779228832,82836.89779228832,1722.1693468167496
6682,96666.44201665197,0.0,96666.44201665197,96666.44201665197,1955.6438173630963
6683,120120.70374699771,0.0,120120.70374699771,120120.70374699771,2423.9985793287533
6684,169908.88338944953,0.0,169908.88338944953,169908.88338944953,3474.882885714739
6685,247518.71146226095,0.0,247518.71146226095,247518.71146226095,4963.466454855844
6686,269864.81519777834,0.0,269864.81519777834,269864.81519777834,5385.155558049643
6687,380605.77611927217,0.0,380605.77611927217,380605.77611927217,7437.636823408115
6688,414007.7932824412,0.0,414007.7932824412,414007.7932824412,8045.88103871546
6689,623805.0826514931,0.0,623805.0826514931,623805.0826514931,11771.091902122174
