,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
4923,75032.21648669426,0.0,75032.21648669426,75032.21648669426,1572.0271923873336
4924,139805.8239987634,0.0,139805.8239987634,139805.8239987634,2772.918476851576
4925,197508.00520308275,0.0,197508.00520308275,197508.00520308275,3990.1949677686507
4926,167399.90910150396,0.0,167399.90910150396,167399.90910150396,3412.8266754482174
4927,0.0,0.0,0.0,0.0,0.0
4928,268494.08691452164,0.0,268494.08691452164,268494.08691452164,4438.026646705247
4929,288178.3080419802,0.0,288178.3080419802,288178.3080419802,5690.471647435561
4930,0.0,0.0,0.0,0.0,0.0
4931,668205.4333205707,0.0,668205.4333205707,668205.4333205707,10318.11869111803
4932,747252.6899918251,0.0,747252.6899918251,747252.6899918251,13705.642621982315
4933,168520.2681358342,0.0,168520.2681358342,168520.2681358342,3433.8641560036317
4934,22513.005528960297,0.0,22513.005528960297,22513.005528960297,470.6444232272189
4935,0.0,0.0,0.0,0.0,0.0
4936,0.0,0.0,0.0,0.0,0.0
4937,36133.05148271201,0.0,36133.05148271201,36133.05148271201,632.296696290743
4938,174853.70940128985,0.0,174853.70940128985,174853.70940128985,3195.1454850229766
4939,94156.89150922537,0.0,94156.89150922537,94156.89150922537,1972.8268485368426
4940,0.0,0.0,0.0,0.0,0.0
4941,0.0,0.0,0.0,0.0,0.0
4942,513815.14558218454,0.0,513815.14558218454,513815.14558218454,8110.6570358195395
4943,457395.2954759703,0.0,457395.2954759703,457395.2954759703,8742.956162765511
4944,815888.6268373778,0.0,815888.6268373778,815888.6268373778,14837.190158903493
4945,815888.6268373778,0.0,815888.6268373778,815888.6268373778,14837.167293738568
4946,469499.95102655754,0.0,469499.95102655754,469499.95102655754,8956.366276888488
4947,23463.906303132047,0.0,23463.906303132047,23463.906303132047,489.5278055880801
4948,0.0,0.0,0.0,0.0,0.0
4949,0.0,0.0,0.0,0.0,0.0
4950,0.0,0.0,0.0,0.0,0.0
4951,0.0,0.0,0.0,0.0,0.0
4952,0.0,0.0,0.0,0.0,0.0
4953,0.0,0.0,0.0,0.0,0.0
4954,0.0,0.0,0.0,0.0,0.0
4955,0.0,0.0,0.0,0.0,0.0
4956,0.0,0.0,0.0,0.0,0.0
4957,0.0,0.0,0.0,0.0,0.0
4958,34489.05434883054,0.0,34489.05434883054,34489.05434883054,601.6546950817858
4959,815888.6268373778,0.0,815888.6268373778,815888.6268373778,13224.523157167738
4960,0.0,0.0,0.0,0.0,0.0
4961,55674.53406032916,0.0,55674.53406032916,55674.53406032916,970.8894740882203
4962,150095.25816214413,0.0,150095.25816214413,150095.25816214413,2853.3938348135903
4963,0.0,0.0,0.0,0.0,0.0
4964,0.0,0.0,0.0,0.0,0.0
4965,0.0,0.0,0.0,0.0,0.0
4966,541310.9196121936,0.0,541310.9196121936,541310.9196121936,8506.912373879788
4967,47081.06271142587,0.0,47081.06271142587,47081.06271142587,985.3487650874436
4968,46189.48838298127,0.0,46189.48838298127,46189.48838298127,967.479832529962
4969,57875.986376675595,0.0,57875.986376675595,57875.986376675595,1169.4576889261546
4970,0.0,0.0,0.0,0.0,0.0
4971,303188.565689327,0.0,303188.565689327,303188.565689327,4969.849589985631
4972,568803.2449318651,0.0,568803.2449318651,568803.2449318651,10682.186410278626
4973,341093.00811265205,0.0,341093.00811265205,341093.00811265205,6656.893476535518
4974,658344.5662411702,0.0,658344.5662411702,658344.5662411702,12209.607354430156
4975,787436.4626106388,0.0,787436.4626106388,787436.4626106388,14364.743202659522
4976,484292.22462133196,0.0,484292.22462133196,484292.22462133196,9213.477195746038
4977,815888.6268373778,0.0,815888.6268373778,815888.6268373778,14832.747211207692
4978,481737.71233563416,0.0,481737.71233563416,481737.71233563416,9168.619264656012
4979,189594.43789978256,0.0,189594.43789978256,189594.43789978256,3836.4759453730308
4980,73243.08505635188,0.0,73243.08505635188,73243.08505635188,1534.9683256175429
4981,121042.11679377746,0.0,121042.11679377746,121042.11679377746,2415.9219372345337
4982,815888.6268373778,0.0,815888.6268373778,815888.6268373778,14832.429561651332
4983,51813.34362944779,0.0,51813.34362944779,51813.34362944779,1083.7374468981816
4984,31423.190150546612,0.0,31423.190150546612,31423.190150546612,656.4806219272695
4985,65319.68063127635,0.0,65319.68063127635,65319.68063127635,1240.6899033347972
4986,276785.3820612289,0.0,276785.3820612289,276785.3820612289,5198.555144262217
4987,549086.9656208629,0.0,549086.9656208629,549086.9656208629,10341.108936296363
4988,127207.48907330053,0.0,127207.48907330053,127207.48907330053,2627.8453799474673
4989,127726.21437174313,0.0,127726.21437174313,127726.21437174313,2638.037811070357
4990,32098.86755746244,0.0,32098.86755746244,32098.86755746244,673.7935975426255
4991,59822.25662831093,0.0,59822.25662831093,59822.25662831093,1162.1893295470304
4992,0.0,0.0,0.0,0.0,0.0
4993,0.0,0.0,0.0,0.0,0.0
4994,0.0,0.0,0.0,0.0,0.0
4995,636872.5148862805,0.0,636872.5148862805,636872.5148862805,9869.837051785766
4996,322427.3655471773,0.0,322427.3655471773,322427.3655471773,6315.317128140284
4997,807688.6190288056,0.0,807688.6190288056,807688.6190288056,14695.65050210661
4998,543152.368167285,0.0,543152.368167285,543152.368167285,10237.406399143772
4999,469539.25367187755,0.0,469539.25367187755,469539.25367187755,8952.566737547115
5000,329243.74555877055,0.0,329243.74555877055,329243.74555877055,6439.757024798458
5001,413961.3418349929,0.0,413961.3418349929,413961.3418349929,7967.784958939676
5002,374161.45031556697,0.0,374161.45031556697,374161.45031556697,7254.174438723946
5003,228479.51075923172,0.0,228479.51075923172,228479.51075923172,4573.099666761676
5004,260726.38842520112,0.0,260726.38842520112,260726.38842520112,5176.939613838735
5005,305800.0544253489,0.0,305800.0544253489,305800.0544253489,6010.550121128524
5006,815888.6268373778,0.0,815888.6268373778,815888.6268373778,14830.083518986776
5007,724469.8271583425,0.0,724469.8271583425,724469.8271583425,13317.653583342895
5008,815888.6268373778,0.0,815888.6268373778,815888.6268373778,14830.038049616218
5009,489792.01220303425,0.0,489792.01220303425,489792.01220303425,9308.05027077749
5010,815888.6268373778,0.0,815888.6268373778,815888.6268373778,14829.993344648892
5011,396991.60186488344,0.0,396991.60186488344,396991.60186488344,7664.288950128009
5012,491855.92067530897,0.0,491855.92067530897,491855.92067530897,9344.153173010602
